,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
stays[3517],-0.14463321974715762,0.007581433363194938,0.11844521596497264,-0.3563698682831255,-0.2313985334664546,-0.14354894423538106,-0.055924049608998695,0.0845503296013427,244.08011770291782,0.999124162224627
stays[3518],0.32665662741261925,0.009985405521601563,0.1486105290719152,0.042471547322721376,0.21000106654182427,0.33054863982886484,0.43892620586547476,0.5954000796075019,221.49694820969762,1.0106406105458552
stays[3519],0.06665968528908858,0.015391891318600486,0.1552535857859568,-0.23068246028415598,-0.028854092458080006,0.07127111056527968,0.1615638300870495,0.35794603891717164,101.74177328318486,1.0179654059064194
stays[3520],0.12297194728459146,0.005010950620666555,0.14561983186244826,-0.2076905889330471,0.03070716334609722,0.12702804527508577,0.21284867227910678,0.40537841253285445,844.5022370296493,0.9994827035236847
stays[3521],0.03372383444027611,0.003956742502691942,0.10114207860454194,-0.17146096981541298,-0.03631969895847605,0.035604360795963866,0.10432873163054927,0.24451982822361273,653.4136054949518,0.9986688559658515
stays[3522],0.07014643736039136,0.006341151812321804,0.10605887922588192,-0.1369982549496948,-0.003493226600696166,0.0667628685404295,0.14056964140472278,0.27201231348795274,279.742057944045,1.004971908512029
stays[3523],0.2200616680557579,0.009617209566674688,0.12059214635152793,-0.007537975084829215,0.14360320593764755,0.21928648701296843,0.30003654869356594,0.4558580785736506,157.2316204842711,1.0008351751044984
stays[3524],-0.2582966532334833,0.006443126953719895,0.11010412866271142,-0.47186599221572234,-0.33548127923602755,-0.25762869867978744,-0.18069317534400228,-0.06123969150228915,292.0208302736445,1.0009375109444123
stays[3525],-0.4520280179759925,0.005043011180042079,0.11310308785819742,-0.6810267724473997,-0.5231766669675901,-0.4487350240866367,-0.37903106884527493,-0.24562896654407032,503.0012471219732,1.0048617041984966
stays[3526],0.10457384780180609,0.00713299454647057,0.12291717962689362,-0.1353157364052884,0.02931901973694314,0.09267714584167625,0.18403582919510927,0.34956964642642296,296.948673370293,0.998680167086346
stays[3527],0.26364468141596065,0.006716422466070355,0.11093688813239551,0.07160150042317413,0.1735302606217616,0.2589920931595233,0.3403977211892715,0.5002842992983427,272.8198385129727,1.0039937591420522
stays[3528],0.13880729601565048,0.01106094897513061,0.133884284888975,-0.12568047076057637,0.04912951268315661,0.13441880664536388,0.23038066544384478,0.3803424230730375,146.51241557509525,1.0083709951274031
stays[3529],-0.3791711158711419,0.00779067831855901,0.13466840281785947,-0.6273496087851053,-0.4768046223757932,-0.3831535321503524,-0.28294470704440833,-0.12191955765008017,298.80019311299986,1.0016491003607861
stays[3530],-0.14065294419442456,0.004228790943970454,0.10863182079260891,-0.35727360508673556,-0.2098580048585292,-0.14210308102954644,-0.07728946250695747,0.07291000473926249,659.9054061521337,0.9987406125215579
stays[3531],-0.1412396322408184,0.00568357095244812,0.11466628047269332,-0.3666837805624891,-0.22413574758267055,-0.13679721135388845,-0.048327992176429135,0.07684320341434131,407.0323040622463,0.9990698026372515
stays[3532],-0.3272032248130684,0.005344513857775564,0.12038155811902516,-0.581573128956989,-0.40233273663671115,-0.3302005999626294,-0.2457398451612544,-0.0786197055276531,507.34514100929573,0.9989696455439562
stays[3533],-0.17227584974511362,0.005871660956211951,0.12553073274423873,-0.4101867219033376,-0.2671487922694704,-0.16556163445509264,-0.09641632151003013,0.06906063875475851,457.06523225569595,0.9987149941473012
stays[3534],0.12285694393552586,0.008371499702516166,0.12362145309014987,-0.10111070124873102,0.023652359130650523,0.1192813167281048,0.20868440474097383,0.3807105302298151,218.06258495724182,1.0132704520378775
stays[3535],0.12549336301427358,0.008212969114277564,0.12269800811887943,-0.12033995455224032,0.04845970318700027,0.12171933339580784,0.2168128974632109,0.34823897040203466,223.18995552078547,0.998679571764859
stays[3536],-0.04851416807980114,0.01246547754286524,0.13855212503162503,-0.3074734431303455,-0.14351720596932926,-0.034681328261305905,0.04929028893310621,0.20673822274975256,123.54026851897831,1.0182336073670977
stays[3537],0.008531500218118536,0.007096535943710566,0.1404534708684605,-0.25960489286317817,-0.07832315836419683,0.0049597516428332,0.09919458053996272,0.2910064972509649,391.7167460484162,1.0024724222864372
stays[3538],0.12250794281040525,0.006277424612168113,0.13762944872495442,-0.21886001395147875,0.04509647744850152,0.13690235355124897,0.20361194298374974,0.37087292598757476,480.6840691761654,0.9997654894060835
stays[3539],0.3683990217384163,0.005002134179562407,0.1352320130244477,0.12260282769017178,0.27891387938843165,0.3703913061349614,0.45814927933507754,0.6328062594282637,730.8838257774713,1.0019841234721611
stays[3540],0.1964446472280163,0.0054245985207307884,0.13012071386398918,-0.05825815556237969,0.09822889084646166,0.2009042233631064,0.2795681784214296,0.4385491665521012,575.3838555795356,1.00013555282656
stays[3541],0.2931371094662513,0.007285870435894823,0.11747221275643262,0.09476469020179541,0.20467213616126362,0.29092134986450047,0.3762562398767955,0.5266003171532966,259.96052829503236,0.9998356998078461
stays[3542],0.10793258865837356,0.003635278631307172,0.10189055268232886,-0.09718139047015102,0.044097926270974995,0.10059494348378828,0.17748395997862407,0.300534239176755,785.5836366776059,1.0053842005321838
stays[3543],0.07768274533094231,0.006441592037189751,0.10534490947839045,-0.11765195990703171,0.007389421514294405,0.07500518053820782,0.15281574300200262,0.277374502972722,267.44881369843074,1.0051126591854178
stays[3544],0.3248819627256552,0.00393851188703549,0.11251690600701554,0.09473705931211043,0.25214007713697567,0.33287116992946475,0.40225273539991474,0.5511546150859153,816.1523617004283,0.9986731958511645
stays[3545],0.15927582167715013,0.008512021552286718,0.1214102590055486,-0.06167917369923011,0.06776932012624222,0.1578249030644222,0.24279950027511232,0.3896060050553026,203.44421358108937,1.0073665865264878
stays[3546],-0.11049230623119076,0.007481810804484245,0.11652636008451743,-0.35344858144069613,-0.18923452778804578,-0.10081976644417753,-0.02516146583736064,0.09935854577101695,242.5687876980121,0.9989380920235666
stays[3547],-0.11452882325355737,0.00678305565159519,0.11987116890791202,-0.33631749162424773,-0.2129566957671968,-0.11693155255452466,-0.03320809395876668,0.12199807076806812,312.30484380461354,1.0012974207237797
stays[3548],-0.005701462846210828,0.005169187215480934,0.12843414592189548,-0.2809149578688644,-0.08369850816436686,0.0027960694848896102,0.06908807250758031,0.24419235483014692,617.3287183497641,0.9988547664722177
stays[3549],-0.06737897694001327,0.014554642888304813,0.1456957038325362,-0.34899510325194527,-0.15878585442081705,-0.060403520077210136,0.03306642238136809,0.19280824606468988,100.20522866844175,1.004153118570943
stays[3550],-0.04546979080329786,0.0055682447376250955,0.13126659660226278,-0.31288783141672316,-0.13124408181511446,-0.03483597613428257,0.04419326447576772,0.20078173030441654,555.7402088575876,0.9995823418119012
stays[3551],-0.330461731250654,0.009013744889499287,0.12863971242635897,-0.5650589929710598,-0.4243538767048017,-0.3313821678965455,-0.23991862617205492,-0.08259579972104537,203.6758776605763,1.0113747733461702
stays[3552],0.24943530014127396,0.004691943931837844,0.11197279934842838,0.03979934760890999,0.17952056431698715,0.2423392794750125,0.3212032615705294,0.4697312063415361,569.5337227009602,1.010414997540053
stays[3553],0.40852993471017846,0.004625263134684094,0.10728509945072912,0.19350263775330087,0.3363288146220216,0.4150269876860071,0.4880109740446481,0.6084311222447901,538.0292986217862,1.0044723630647063
stays[3554],0.44788686903511765,0.0065047643436535844,0.1268852570485049,0.20363286540492434,0.3622062103403156,0.4397034125984155,0.5470060806828393,0.6934411932835353,380.5039703532467,0.9995993510060012
stays[3555],0.4031557895758207,0.011907491272899362,0.12463093562940908,0.18843888699330053,0.3140221032490349,0.4074534580860493,0.4896900911767845,0.635639387778817,109.54969353680049,1.0042500800348815
stays[3556],0.38210136748600476,0.011969942763355746,0.12705987101989855,0.15548421648016783,0.29842913889906914,0.38503777038754883,0.4631364679417257,0.625212466357782,112.67632473989485,1.0237332031112487
stays[3557],0.5131387600788022,0.010125418876355107,0.12659106680822946,0.28635230772718334,0.41609967745975374,0.5108392286764357,0.6071118238938892,0.7374232486403698,156.30760997253822,0.9987987634344346
stays[3558],0.14426077350707756,0.003918721194335468,0.10562606151943822,-0.06302066274113943,0.08089599861533166,0.1325978859184221,0.21497060254321504,0.3583471982556796,726.5298152499389,1.0020296712167664
stays[3559],0.12330912136830136,0.005426083451463688,0.10648660947296344,-0.09567855206248002,0.05233897827712798,0.1315695456971443,0.18874332909573904,0.3376907978661986,385.138612172557,1.0077424268478556
stays[3560],0.05848539082077635,0.004555278788138146,0.1091330730511306,-0.1635318864506553,-0.013548377361268533,0.06519862109419573,0.1243055710897926,0.27671330797565535,573.9616114915217,1.0011582051005001
stays[3561],0.02685126764795274,0.004493280922478192,0.10864913220080274,-0.1832883950939261,-0.036990922750777144,0.020640365772757706,0.09815680970961073,0.24181432700228833,584.6896150734528,0.9993552669826715
stays[3562],0.20164542444279593,0.004361011174710978,0.1128322322039217,-0.023843122764689542,0.12224383431495321,0.21545644930279667,0.284700709054013,0.4105036040182399,669.409638183659,1.0037568585022503
stays[3563],-0.024769667573586607,0.004635970483891886,0.11316576790190767,-0.23264051922720896,-0.10371601965368743,-0.024475906328050044,0.04815371170181315,0.21095516928369232,595.8663012913336,0.9988199032880843
stays[3564],0.2507702626439526,0.008162878682322409,0.11820536931675357,0.01585488111408355,0.17280256461936797,0.24830868919565446,0.34020266057519954,0.4527706129279066,209.6948306306355,1.0097993821667741
stays[3565],0.22959613691925282,0.00540970584650369,0.11225646452779536,0.0007422367605457892,0.15872929926540547,0.229876877282381,0.3099996311908067,0.451632936852475,430.6013811494123,1.0067900764152073
stays[3566],-0.3118300656522986,0.008405190442908871,0.13351920087153046,-0.604346407003707,-0.388857656164938,-0.3154533977898185,-0.22773568601470628,-0.042221612403256295,252.34362216976788,1.0030224126219245
stays[3567],0.3825596749844999,0.004829348490981298,0.12517635334502383,0.13173861597324146,0.3020500085142552,0.3869934242796367,0.4575452799247302,0.6323164123434467,671.8425405581587,1.0012902898949598
stays[3568],-0.044556576441840835,0.004587671090841115,0.1127240345759529,-0.27249874346729414,-0.10979635745098497,-0.05174248885315531,0.030031160268576308,0.18434544104833564,603.7379851049503,0.9988937030715795
stays[3569],0.2631018651894865,0.003897356008500842,0.10108294225133231,0.06444280145806464,0.19438623434656885,0.2732030807761918,0.32522071309380385,0.4529060605295642,672.6909603695972,1.0028786324085888
