,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alphas[2412],0.7514751649297373,0.0036531268682558874,0.13659159246021768,0.4861171901087193,0.6631907416521698,0.7483216067465228,0.8366255602402863,1.0116383159785949,1398.0362314482086,1.0032146728427267
alphas[2413],0.8269259062851706,0.005462634839544367,0.16082709145529203,0.5030481558214414,0.7258791567206833,0.8218891102931063,0.9296252187923995,1.1666173077164026,866.7903650869806,1.0007126502819552
alphas[2414],0.7475561433886707,0.00651895307013529,0.2090991799398277,0.3302799029548824,0.6079453280988824,0.7480044509477914,0.8872533974542722,1.145079169309189,1028.8426278705347,0.9989060668210581
alphas[2415],0.7846377947603835,0.005172202713033643,0.17318009710923685,0.459756830165586,0.6662384504724911,0.7811716389918079,0.8900353347235845,1.1404010604550046,1121.1013671100352,0.9998504751342697
alphas[2416],0.9364149326807977,0.005229360105240742,0.16211146232182339,0.6474256315199787,0.826795808514772,0.926038859482547,1.034394068608273,1.2854910693166886,961.0154018850167,1.0045031580570127
alphas[2417],1.0306622560809613,0.0060596344354745665,0.16533897489945876,0.7306353301499822,0.9115532466428982,1.022362470189351,1.144864743229535,1.3757493508982068,744.4878792006887,1.002221253909477
alphas[2418],0.9426205522807457,0.005119470177517279,0.19321050588448618,0.5932358958473712,0.8130715089308279,0.9283685622046656,1.0540082758656746,1.3748980818379906,1424.3326848426843,1.0002114668250008
alphas[2419],0.8752569670655027,0.003371291481892861,0.14439289568821173,0.6219517992152804,0.7761337464485487,0.8668101267168213,0.964093552317895,1.1797514874695978,1834.4211347665002,0.9994277077411627
alphas[2420],0.644901843737179,0.006969674436884589,0.16979394351345153,0.3257885757564901,0.5280266134125304,0.6458448151299934,0.7540450505267593,0.9812583055547143,593.4981997739205,0.9994455474321953
alphas[2421],0.9605813861158224,0.00527284252639359,0.1531177143808765,0.6938302828428433,0.8568909395235993,0.9499773934476798,1.0494263636042402,1.2837300113656585,843.259558595814,1.004912898381743
alphas[2422],0.6905525334012563,0.004724727131118724,0.14793221426546632,0.41715526002440123,0.5839097543583938,0.6897876594499777,0.7933444996159544,0.9706148369847657,980.3294569689256,1.0003150190475314
alphas[2423],0.9497410920068912,0.004064819361286833,0.15710291096723167,0.667594444840015,0.8429583865237398,0.9391112645605046,1.0411112652224994,1.307435305638907,1493.7776710662934,0.9993007243342924
alphas[2424],0.8497802406395035,0.0029633228056554074,0.13112346290932894,0.6009807233907658,0.7618044069430425,0.8496193849090341,0.9310062743496681,1.1248942465197787,1957.9558459030534,0.9990184071489844
alphas[2425],1.0414504301207457,0.005617746800535584,0.15986089990593944,0.7685239913776213,0.9300204196151814,1.0209795225325466,1.136607636981983,1.4044521239458247,809.7672059971089,1.001325036540568
alphas[2426],0.6900123273060512,0.006985206359811351,0.2003350313524398,0.3140241003357091,0.553234619265058,0.6853252544453166,0.8251780189916176,1.1035682476449777,822.536758227455,1.0022800827662732
alphas[2427],0.6367856198646141,0.011341355562737337,0.22623456574465553,0.17323600039829612,0.4799806039888859,0.6472451808159174,0.7989841756516418,1.0575432252076296,397.9128718894068,0.9998671249018797
alphas[2428],0.7854401472861706,0.006400394443308948,0.1808597506991846,0.4179915096694753,0.6742819995135803,0.7799385197415354,0.8983896896558554,1.1559808767316204,798.4916458677817,1.0016749128716405
alphas[2429],0.8487468013670091,0.0047971957902189334,0.1692754378531893,0.515760982568802,0.7389233154974812,0.8477830989699204,0.9566791571382218,1.1930153525641287,1245.1251455514562,1.0002550800841816
alphas[2430],0.9511356235121535,0.005450816046408099,0.18446278131786714,0.6100522692781613,0.8242402548545438,0.9408432137838298,1.067108111934334,1.3429517956051105,1145.23458210902,0.999643932101827
alphas[2431],0.9544936799443839,0.004661308074476594,0.16905079150355176,0.6452394783579847,0.8420481982732675,0.9450007543964174,1.0644507366862488,1.3297982556334713,1315.2817754557275,1.0010356837773369
alphas[2432],1.100050078707058,0.006238340644993805,0.18616163061111485,0.7720810611432667,0.9667041571956089,1.0866231267981652,1.2130171391877491,1.5245292153157053,890.5169232964454,1.0004111534936415
alphas[2433],0.9184751814428158,0.004496154562135798,0.16939593410649986,0.6061500355658788,0.8016823296654119,0.905640219752982,1.025703139851015,1.2743052686428533,1419.4611134467611,1.000618001102601
alphas[2434],0.6632164994436999,0.008616078063726293,0.21938129674105408,0.22356395209674917,0.5207874468392275,0.6630881160665003,0.8083227731436232,1.0825359447068112,648.3058615359668,1.0025757816937364
alphas[2435],0.7847390835164678,0.01301444589550059,0.2475155119790683,0.24853790009827295,0.6424824326367966,0.7884716735134626,0.9458621215652485,1.2550774008341368,361.7041393092757,1.0071646210494312
alphas[2436],0.7215023935184066,0.00901544860499278,0.2336382385294397,0.23561159539490478,0.5700184987841174,0.7303773362186086,0.8703617551396409,1.1905322471852025,671.603827877801,1.0028493871285145
alphas[2437],0.6046752406541321,0.009624848036095274,0.2087654713303921,0.1769815665346224,0.46103686919334935,0.6098193142274722,0.7474209172754556,1.0141103951905668,470.4674463259225,1.0057651052254848
alphas[2438],0.7976483400878069,0.0064403164818700905,0.21429610631463186,0.38877749863734895,0.6554632151306239,0.7956401079661092,0.931541942274907,1.2343660231970235,1107.1695712538863,1.001271071254053
alphas[2439],0.8430365874854973,0.0064297092880993036,0.2023553267951804,0.45950616332192046,0.7114265459859153,0.8346985910247954,0.9760480891645886,1.2500982429008796,990.4820466448263,0.9994733313882873
alphas[2440],0.9250127968224876,0.005224699761441619,0.19486513349581439,0.5497434499700625,0.7970653122061262,0.9195459898138081,1.049941937871274,1.3374093955525728,1391.0591631233215,0.9987797818941991
alphas[2441],0.5485043510748138,0.014238094606759925,0.24761004203958722,0.05911668448062924,0.36748127617881104,0.5653080096306786,0.7309352138908767,1.0082818469508272,302.43549417806406,1.0010227428775564
alphas[2442],0.8547142307180762,0.006234389755468079,0.194462041520431,0.4681817057713009,0.7347412197248134,0.8462297076754084,0.962112654313944,1.290057352742532,972.9304199929726,1.0014199585913786
